
DATE,OSS_KEYWORD,USERS,SITE_VISITS,RANK,KEYWORD_CATEGORY
2021-01-18,mouse pad,84.135928727,90.446123382,10,Computer
2021-01-18,laptop,84.135928727,93.601220709,10,Computer
2021-01-19,webcam,157.1005024,167.702376795,1,Computer
2021-01-19,monitor,117.584425109,126.258685978,2,Computer
2021-01-19,ps5,102.163516898,106.982550714,3,Toy & Games
2021-01-19,headphones,88.670222213,92.525449266,4,Computer
2021-01-19,laptop,86.742608687,96.380676319,5,Computer
2021-01-19,mouse pad,83.851188397,93.489256029,6,Computer
2021-01-19,airpods,82.887381634,84.814995161,7,Airpods
2021-01-19,nintendo switch,79.032154581,80.959768108,8,Toy & Games
2021-01-19,eggs,77.104541055,78.068347818,9,Grocery
2021-01-19,desk,76.140734292,82.887381634,10,Furniture
2021-01-20,amanda gorman,171.974964891,173.907267867,1,Author
2021-01-20,webcam,150.719632151,157.482692568,2,Computer
2021-01-20,monitor,104.34436072,112.073572625,3,Computer
2021-01-20,ps5,96.615148815,97.581300303,4,Toy & Games
2021-01-20,ssd,91.784391374,97.581300303,5,Computer
2021-01-20,eggs,81.156725005,85.987482445,6,Grocery
2021-01-20,headphones,81.156725005,81.156725005,6,Computer
2021-01-20,laptop,80.190573516,87.919785422,8,Computer
2021-01-20,keyboard,79.224422028,80.190573516,9,Computer
2021-01-20,the expanse,72.461361611,77.292119052,10,Movie
2021-01-21,ps5,297.672707126,307.306128068,1,Toy & Games
2021-01-21,playstation 5,199.411813511,208.08189236,2,Toy & Games
2021-01-21,amanda gorman,192.668418852,194.59510304,3,Author
2021-01-21,webcam,131.977866913,134.867893196,4,Computer
2021-01-21,ps5 console,102.114261991,105.004288274,5,Toy & Games
2021-01-21,monitor,96.334209426,105.967630368,6,Computer
2021-01-21,xbox series x,91.517498954,93.444183143,7,Computer
2021-01-21,mouse pad,89.590814766,99.224235709,8,Computer
2021-01-21,nintendo switch,86.700788483,92.480841049,9,Toy & Games
2021-01-21,laptop,81.884078012,85.737446389,10,Computer
2021-01-22,n95 mask,134.164276569,137.12378267,1,Face Masks
2021-01-22,ps5,128.245264368,131.204770469,2,Toy & Games
2021-01-22,webcam,122.326252166,127.258762334,3,Computer
2021-01-22,playstation 5,97.663701326,105.555717595,4,Toy & Games
2021-01-22,monitor,93.717693192,108.515223696,5,Computer
2021-01-22,eggs,88.785183024,90.758187091,6,Grocery
2021-01-22,headphones,82.866170822,83.852672856,7,Computer
2021-01-22,nintendo switch,81.879668789,87.79868099,8,Toy & Games
2021-01-22,n95 masks for virus protection made in usa,81.879668789,81.879668789,8,Face Masks
2021-01-22,face mask,79.906664722,82.866170822,10,Face Masks
2021-01-23,n95 mask,283.341039106,285.682700586,1,Face Masks
2021-01-23,n95,214.262025439,218.9453484,2,Face Masks
2021-01-23,n95 masks for virus protection made in usa,165.087134355,168.599626575,3,Face Masks
2021-01-23,n95 masks,152.207996214,156.891319174,4,Face Masks
2021-01-23,ps5,117.083074011,117.083074011,5,Toy & Games
2021-01-23,eggs,108.88725883,110.05808957,6,Grocery
2021-01-23,monitor,103.033105129,106.54559735,7,Computer
2021-01-23,webcam,97.178951429,103.033105129,8,Computer
2021-01-23,playstation 5,96.008120689,99.520612909,9,Toy & Games
2021-01-23,nintendo switch,94.837289949,100.691443649,10,Toy & Games
2021-01-24,n95 mask,175.693660173,175.693660173,1,Face Masks
2021-01-24,n95,120.151793409,122.418808379,2,Face Masks
2021-01-24,webcam,116.751270954,133.753883229,3,Computer
2021-01-24,eggs,112.217241014,113.350748499,4,Grocery
2021-01-24,monitor,111.083733529,117.884778439,5,Computer
2021-01-24,ps5,104.282688619,107.683211074,6,Toy & Games
2021-01-24,mouse pad,95.214628739,98.615151194,7,Computer
2021-01-24,desk,94.081121254,98.615151194,8,Furniture
2021-01-24,gaming chair,91.814106284,102.015673649,9,Furniture
2021-01-24,nintendo switch,88.413583829,91.814106284,10,Toy & Games
2021-01-25,n95 mask,141.923672317,147.638719525,1,Face Masks
2021-01-25,webcam,141.923672317,149.54373526,1,Computer
2021-01-25,n95 masks,118.11097562,125.731038563,3,Face Masks
2021-01-25,monitor,112.395928412,113.34843628,4,Computer
2021-01-25,headphones,100.965833998,106.680881205,5,Computer
2021-01-25,ps5,100.01332613,105.728373337,6,Toy & Games
2021-01-25,n95,97.155802526,100.965833998,7,Face Masks
2021-01-25,eggs,90.488247451,91.440755318,8,Grocery
2021-01-25,office chair,87.630723847,93.345771054,9,Furniture
2021-01-25,mouse pad,83.820692375,89.535739583,10,Computer
2021-01-26,n95 mask,271.440854336,279.087075585,1,Face Masks
2021-01-26,webcam,145.278203729,151.968647322,2,Computer
2021-01-26,n95,126.162650607,129.029983575,3,Face Masks
2021-01-26,ps5,113.737541077,119.472207014,4,Toy & Games
2021-01-26,headphones,102.268209204,105.135542172,5,Computer
2021-01-26,monitor,95.577765611,106.091319828,6,Computer
